code;description;P1 (5);P2;P3;P4;P5;P6;
cod.BadVariableType;Al menos un tipo de variable es incorrecto.;;;;;;;
cod.IncorrectCode;Código incorrecto.;0;;;;;;
cod.UnnecessaryCast;Transformación innecesaria.;;;;;;;
cod.UnnecessaryCode;Código innecesario.;;;;;;;
cod.UnnecessaryContent;Elementos innecesarios en el código.;;;;;;;
cod.UnnecessaryVariable;Variable innecesaria.;;;;;;;
cod.WrongCode;Código erróneo.;;;;;;;
dba.AsteriskedSelect;Al menos una consulta SELECT incluye asteriscos, lo que disminuye la legibilidad, rendimiento y mantenibilidad.;;;;;;;
dba.BadDesign;Diseño de datos incorrecto o inconsistente con el modelo.;;;;;;;
dba.BadFieldName;Nombre de al menos un campo no sigue el criterio de la asignatura, y/o no es claro.;;;;;;;
dba.BadFieldSize;Tamaño de campo innecesariamente especificado (por ejemplo, modificación de INT), o demasiado pequeño o demasiado grande para lo que se espera.;;;;;;;
dba.BadFieldType;Al menos un tipo de campo es incorrecto.;;;;;;;
dba.BadFieldsOrder;Los campos están desordenados, debiendo ser clave primaria, claves foráneas, resto de campos y fechas de creación, actualización y eliminación.;;;;;;;
dba.BadSqlFile;Falta archivo SQL o información en él, como podría ser la creación de la base de datos o las consultas de inserción.;;;;;;;
dba.MissingIndex;Índice no especificado.;;;;;;;
dba.MissingPrimaryKey;Clave primaria no especificada.;;;;;;;
dba.MissingRelation;Integridad referencial no especificada.;;;;;;;
dba.MissingUniqueKey;Índice único no especificado.;0;;;;;;
dba.SetPrimaryKey;Permitir asignar o modificar la clave primaria autoincremental (o no) constituye un error de seguridad muy grave.;;;;;;;
dba.UnnecessaryNull;Alternativa a valor nulo preferible.;;;;;;;
exe.CodeOutOfTry;Código debería encontrarse dentro del try, por cuestión de legibilidad.;;;;;;;
exe.MissingClose;ResultSet, conexiones y/o archivos no apropiadamente cerrados (por ejemplo, en finally).;;;;;;;
exe.NotAddressedGuiError;Los errores deben dar información al usuario en la capa de presentación.;;;;;;;
exe.NotThrownException;Las excepciones deben ser elevadas o tratadas como corresponde, no simplemente mostrarla o ignorarlas, en cuyo caso no será posible saber por qué no ha funcionado el correspondiente bloque de código.;;;;;;;
exe.UnnecesaryTryCatch;Alguna excepción tratada sin ser necesario.;;;;;;;
leg.BadIndentation;Mala indentación de bloque, línea código, llaves de apertura y/o cierre.;;;;;;;
leg.ChaoticStructure;Estructura de código caótica. Debe ser variables con sus respectivas propiedades, constructores, y resto de métodos, ordenados por criterios público / privado o por relaciones entre ellos.;;;;;;;
leg.ConsecutiveBreaks;Más de un salto de línea consecutivo.;;;;;;;
leg.MissingBreaks;Pérdida de legibilidad al no incluirse saltos de línea para separar en párrafos lógicos.;0;;;;;;
leg.MissingSeparation;Pérdida de legibilidad al omitirse espacio después de cláusulas (if, while...) o puntuación (coma, asignación, operador o separador).;;;;;;;
leg.UnnecessaryBraces;Llaves innecesarias.;;;;;;;
leg.UnnecessaryBreak;Saltos de línea innecesarios.;0;;;;;;
pra.BadFileDistribution;La estructura de archivos no es adecuada.;;;;;;;
pra.MissingRequirements;El programa no se ajusta a los requerimientos, global o parcialmente.;-5;;;;;;
pra.MissingTests;Ausencia de métodos de prueba, pruebas insuficientes en método o falta de assert requeridos.;;;;;;;
pra.NotCompile;Código no compila.;;;;;;;
pra.Warning;Al menos un warning en código.;;;;;;;
syn.AmbiguousMessage;Mensaje de información, error o excepción no existente o ambiguo.;;;;;;;
syn.BadHungarian;La notación húngara sólo debe emplearse con variables y parámetros.;;;;;;;
syn.ClassSyntax;El nombre las clases deben comenzar por mayúsculas, y ser en singular.;;;;;;;
syn.LanguageSyntax;Error léxico/sintáctico en texto: mal inglés, o ausencia de tildes y mayúsculas cuando es pertinente, en castellano.;;;;;;;
syn.PackageSyntax;El nombre los paquetes deben escribirse completamente en minúsculas.;;;;;;;
syn.RareSyntax;Carácter extraño en sintaxis, bien directamente o por exportación.;;;;;;;
syn.UnconsistentLang;No se debe programar o denominar variables empleando más un idioma.;;;;;;;
syn.VariableSyntax;Nombre de al menos una variable no sigue el criterio de la asignatura, y/o no es clara.;;;;;;;
